1: bootstrap='True', criterion='gini', max_depth='10', max_depth_type='None', max_features_float='0.5', max_features_special='sqrt', max_features_type='special', max_leaf_nodes='100', max_leaf_nodes_type='None', max_samples='0.8', max_samples_type='None', min_impurity_decrease='0.0', min_samples_leaf='1', min_samples_split='2', min_weight_fraction_leaf='0.0', n_estimators='100', oob_score='True'
2: bootstrap='True', criterion='log_loss', max_depth='53', max_depth_type='None', max_features_float='0.2616624474919894', max_features_special='None', max_features_type='special', max_leaf_nodes='866', max_leaf_nodes_type='int', max_samples='0.7064516500511144', max_samples_type='float', min_impurity_decrease='0.38915329800906584', min_samples_leaf='88', min_samples_split='98', min_weight_fraction_leaf='0.24428626482756338', n_estimators='423', oob_score='False'
3: bootstrap='False', criterion='entropy', max_depth='28', max_depth_type='int', max_features_float='0.08675699120621727', max_features_special='None', max_features_type='special', max_leaf_nodes='321', max_leaf_nodes_type='int', max_samples='0.12021802486945497', max_samples_type='float', min_impurity_decrease='0.32276101127350276', min_samples_leaf='75', min_samples_split='3', min_weight_fraction_leaf='0.144846100130528', n_estimators='19', oob_score='False'
4: bootstrap='False', criterion='entropy', max_depth='59', max_depth_type='None', max_features_float='0.6596933968112624', max_features_special='sqrt', max_features_type='float', max_leaf_nodes='309', max_leaf_nodes_type='int', max_samples='0.3862597528618009', max_samples_type='None', min_impurity_decrease='0.49775625702733034', min_samples_leaf='86', min_samples_split='57', min_weight_fraction_leaf='0.4128941864152595', n_estimators='152', oob_score='False'
5: bootstrap='True', criterion='log_loss', max_depth='5', max_depth_type='int', max_features_float='0.8386262491264777', max_features_special='log2', max_features_type='float', max_leaf_nodes='464', max_leaf_nodes_type='int', max_samples='0.06344325632934258', max_samples_type='None', min_impurity_decrease='0.42334622486069706', min_samples_leaf='47', min_samples_split='63', min_weight_fraction_leaf='0.22337232087592934', n_estimators='198', oob_score='True'
6: bootstrap='True', criterion='gini', max_depth='88', max_depth_type='None', max_features_float='0.5219085800822285', max_features_special='sqrt', max_features_type='special', max_leaf_nodes='328', max_leaf_nodes_type='int', max_samples='0.617742986246509', max_samples_type='None', min_impurity_decrease='0.1514083340123648', min_samples_leaf='65', min_samples_split='59', min_weight_fraction_leaf='0.12882363127972413', n_estimators='82', oob_score='True'
7: bootstrap='True', criterion='gini', max_depth='60', max_depth_type='None', max_features_float='0.12330356182153901', max_features_special='None', max_features_type='special', max_leaf_nodes='926', max_leaf_nodes_type='int', max_samples='0.08914118460544315', max_samples_type='float', min_impurity_decrease='0.18632476565239164', min_samples_leaf='45', min_samples_split='14', min_weight_fraction_leaf='0.3059048081613499', n_estimators='76', oob_score='False'
8: bootstrap='False', criterion='gini', max_depth='89', max_depth_type='None', max_features_float='0.6521325435388546', max_features_special='sqrt', max_features_type='float', max_leaf_nodes='260', max_leaf_nodes_type='None', max_samples='0.6028949783684887', max_samples_type='None', min_impurity_decrease='0.23386817049113529', min_samples_leaf='86', min_samples_split='15', min_weight_fraction_leaf='0.13512860560757578', n_estimators='68', oob_score='True'
9: bootstrap='True', criterion='entropy', max_depth='60', max_depth_type='None', max_features_float='0.6438446962732667', max_features_special='sqrt', max_features_type='float', max_leaf_nodes='354', max_leaf_nodes_type='int', max_samples='0.28647531742180793', max_samples_type='None', min_impurity_decrease='0.49257239175641654', min_samples_leaf='29', min_samples_split='23', min_weight_fraction_leaf='0.21855235784277266', n_estimators='406', oob_score='False'
10: bootstrap='True', criterion='gini', max_depth='10', max_depth_type='None', max_features_float='0.5', max_features_special='sqrt', max_features_type='float', max_leaf_nodes='100', max_leaf_nodes_type='None', max_samples='0.8', max_samples_type='None', min_impurity_decrease='0.0', min_samples_leaf='1', min_samples_split='2', min_weight_fraction_leaf='0.0', n_estimators='100', oob_score='True'
11: bootstrap='True', criterion='gini', max_depth='17', max_depth_type='int', max_features_float='0.9559240451375883', max_features_special='log2', max_features_type='special', max_leaf_nodes='554', max_leaf_nodes_type='None', max_samples='0.08175027435114807', max_samples_type='float', min_impurity_decrease='0.19533546685231085', min_samples_leaf='39', min_samples_split='83', min_weight_fraction_leaf='0.1332747122393972', n_estimators='237', oob_score='False'
